Date,Workload sum, Scheduled Hours (Sum) , Planned Absences(Sum) , Unplanned Absences (Sum) , Unpaid Absences (Sum) ,Max Temp (�C),Max Temp Flag,Min Temp (�C),Min Temp Flag,Mean Temp (�C),Mean Temp Flag,Heat Deg Days (�C),Heat Deg Days Flag,Cool Deg Days (�C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
8/20/2022,5,2779,549.42,249.05,79.94,24.8,0,17.4,0,21.1,0,0,0,3.1,0,0,0,0,0,0,0,0,0,20,0,45,0
8/21/2022,76,5029,839.45,789.44,241.06,23.7,0,17.9,0,20.8,0,0,0,2.8,0,0,0,0,0,0,0,0,0,12,0,32,0
8/22/2022,56622,8493.26,1374.05,909.65,260.65,25.1,0,14.5,0,19.8,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
8/23/2022,37622,9428.33,1546.94,910.7,220.78,23.8,0,14.2,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8/24/2022,34330,9252.97,1552.23,824.88,217.19,25.2,0,16.2,0,20.7,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
8/25/2022,28358,9358.6,1665.36,924.19,258.81,26.1,0,17.1,0,21.6,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
8/26/2022,30272,7402.6,1416.42,799.88,212.35,20.9,0,15.3,0,18.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,11,0,38,0
8/27/2022,6,1824,493.25,181.97,80,21.2,0,15.4,0,18.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,27,0,60,0
8/28/2022,11,5013.08,719.45,839.7,193.33,22.6,0,12.8,0,17.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,19,0,33,0
8/29/2022,54964,8329.71,1313,935.34,168.27,24.8,0,14.5,0,19.7,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/2022,39541,9267.98,1377.67,888.29,193.04,25.5,0,16.1,0,20.8,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2022,34050,9048.13,1403.72,803.8,177.85,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
9/1/2022,30415,9048.81,1421.79,885.71,199.56,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
9/2/2022,33432,7392.05,1200.63,901.25,244.34,23.5,0,15,0,19.3,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2022,6,2753,545,320.96,80.79,23.2,0,14.6,0,18.9,0,0,0,0.9,0,0,0,0,0,0,0,0,0,11,0,39,0
9/4/2022,0,4692,700,857.5,224.41,20.2,0,15.3,0,17.8,0,0.2,0,0,0,4.9,0,0,0,4.9,0,0,0,0,0,0,0
9/5/2022,22,304,120,30,0,19.8,0,11.8,0,15.8,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/2022,62872,7845.87,1173.12,794.33,170.74,21.4,0,9.8,0,15.6,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2022,40785,8537.76,1347.25,657.31,138.72,21,0,12.6,0,16.8,0,1.2,0,0,0,0,0,0,0,0,0,0,0,29,0,67,0
9/8/2022,43516,8922.86,1427.75,719.11,257.73,18.9,0,9.2,0,14.1,0,3.9,0,0,0,0,0,0,0,0,0,0,0,28,0,53,0
9/9/2022,35151,7474.72,1191.19,691.35,273.91,19.6,0,12.8,0,16.2,0,1.8,0,0,0,0,0,0,0,0,0,0,0,30,0,40,0
9/10/2022,2,2753,410,323.73,95.34,23.6,0,11.2,0,17.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2022,123,5016.1,493.6,674.22,192.04,26.3,0,12.2,0,19.3,0,0,0,1.3,0,0,0,0,0,0,0,0,0,5,0,34,0
9/12/2022,62218,8276.77,837.47,793.41,145.72,22.9,0,14.6,0,18.8,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/2022,42901,9380.84,890.89,871.02,226.83,19.8,0,11.1,0,15.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/2022,38963,9012.73,799.9,827.88,245.65,20.6,0,13.7,0,17.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,20,0,33,0
9/15/2022,33428,8871.85,913.53,726.02,263.96,17.9,0,13.8,0,15.9,0,2.1,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0
9/16/2022,33912,7294.12,785.65,739.52,279.65,17.9,0,12.1,0,15,0,3,0,0,0,1.6,0,0,0,1.6,0,0,0,28,0,32,0
9/17/2022,7,2716,320,260.6,125.82,17.5,0,9.2,0,13.4,0,4.6,0,0,0,0,0,0,0,0,0,0,0,28,0,37,0
9/18/2022,0,4762,464.68,644.01,186.61,18.8,0,10.1,0,14.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,29,0,36,0
9/19/2022,5,312,32,58,8,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
9/20/2022,69246,7938.66,736.25,687.1,229.02,20.8,0,5.7,0,13.3,0,4.7,0,0,0,0,0,0,0,0,0,0,0,30,0,37,0
9/21/2022,42009,8451.92,843.28,741.39,197.5,20.1,0,6.4,0,13.3,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2022,40417,8751.55,850.46,726.87,186.89,20.4,0,9.3,0,14.9,0,3.1,0,0,0,0,0,0,0,0,0,0,0,10,0,39,0
9/23/2022,42044,7213.83,764.1,692.87,263.74,17.5,0,12.8,0,15.2,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/2022,143,2728,408,302.68,117.52,19.5,0,12,0,15.8,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/2022,0,5045.05,632,576.82,152.42,20.2,0,9.8,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/2022,65519,8216.85,1032.27,716.19,230.94,21.7,0,9.9,0,15.8,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/2022,44572,9431.75,1214.71,825.85,208.44,22.1,0,11,0,16.6,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2022,39620,9029.36,1154.16,811.77,175.55,20.3,0,13.2,0,16.8,0,1.2,0,0,0,0.2,0,0,0,0.2,0,0,0,4,0,32,0
9/29/2022,33310,8534.96,1278.83,806.18,217.42,19.7,0,11.8,0,15.8,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2022,12,16,0,0,0,18.6,0,10.4,0,14.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,30,0,32,0
10/1/2022,3,2343.85,544.24,308.5,55.59,19.5,0,9,0,14.3,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2022,52,2424.05,233.18,379,107.4,19.7,0,9.8,0,14.8,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2022,63187,0,0,0,0,21,0,8.3,0,14.7,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2022,44922,9408.4,819.78,827.73,281.02,19.4,0,11.3,0,15.4,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2022,48742,9080.69,820.98,804.37,257.77,18.1,0,11.8,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/2022,38718,8925.91,907.25,806.28,207.31,19.4,0,8.6,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2022,36799,7304.54,815.58,683.57,278.67,20.4,0,10,0,15.2,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2022,4,2769.02,438,251.86,44.26,19.4,0,9.1,0,14.3,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/2022,4,4787.02,657.69,778.21,256.26,18.4,0,10.4,0,14.4,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2022,0,296,56,40.53,8,19.1,0,9.5,0,14.3,0,3.7,0,0,0,0,0,0,0,0,0,0,0,29,0,63,0
10/11/2022,71443,7974.72,1188.86,849.01,167.86,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,29,0,56,0
10/12/2022,44491,8571.5,1341.03,854.72,141.62,16,0,5.9,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2022,39435,8859.5,1384.81,846.81,148.35,17.7,0,6.1,0,11.9,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14/2022,35279,7271.63,1192.75,661.64,200.89,18.3,0,6.4,0,12.4,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2022,5,2769,470,264.13,47.15,17.7,0,6.4,0,12.1,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/2022,41,5109.13,508.03,662.73,237.46,20.2,0,6,0,13.1,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2022,64973,8273.14,796.8,805.63,245.71,18.2,0,10.1,0,14.2,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/2022,47319,9434.07,868.47,887.58,266.54,16.6,0,7,0,11.8,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/19/2022,36265,9099.55,910.9,770.82,248.75,13.9,0,5.8,0,9.9,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/20/2022,40716,8926.93,908.55,805.7,240.93,17.1,0,9.2,0,13.2,0,4.8,0,0,0,0,0,0,0,0,0,0,0,29,0,42,0
10/21/2022,37380,7223.6,811.01,626.78,267.8,13,0,7.6,0,10.3,0,7.7,0,0,0,1.4,0,0,0,1.4,0,0,0,28,0,47,0
10/22/2022,7,2756.13,318,241.94,89.68,12.3,0,5.8,0,9.1,0,8.9,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0
10/23/2022,2,5064.17,440.18,555.47,234.73,11.9,0,3.3,0,7.6,0,10.4,0,0,0,6.7,0,0,0,6.7,0,0,0,0,0,0,0
10/24/2022,68886,8214.28,925.63,883.07,285.5,13.3,0,7.4,0,10.4,0,7.6,0,0,0,13,0,0,0,13,0,0,0,26,0,48,0
10/25/2022,44236,9426.15,976.05,785.96,284.82,10.2,0,7.4,0,8.8,0,9.2,0,0,0,17.2,0,0,0,17.2,0,0,0,11,0,49,0
10/26/2022,41646,9079.15,798.15,691.99,215.88,10.2,0,4.7,0,7.5,0,10.5,0,0,0,4.3,0,0,0,4.3,0,0,0,29,0,39,0
10/27/2022,35993,8916.7,767.62,737.9,264.22,12.2,0,8.3,0,10.3,0,7.7,0,0,0,17,0,0,0,17,0,0,0,14,0,55,0
10/28/2022,38518,7184.31,751.96,607.63,291.66,14.2,0,8.1,0,11.2,0,6.8,0,0,0,2.1,0,0,0,2.1,0,0,0,0,0,0,0
10/29/2022,8,2770,378,286.53,122.64,12.8,0,7.8,0,10.3,0,7.7,0,0,0,0,0,0,0,0,0,0,0,15,0,38,0
10/30/2022,2,5075.08,507.25,511.83,245.12,11.9,0,9.9,0,10.9,0,7.1,0,0,0,25.2,0,0,0,25.2,0,0,0,13,0,41,0
10/31/2022,64765,8202.35,816.22,865.43,332.84,12.3,0,5.6,0,9,0,9,0,0,0,1.6,0,0,0,1.6,0,0,0,0,0,0,0
11/1/2022,46715,9423.13,915.35,703.06,316.16,9.8,0,2.1,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2022,40225,9015.57,855.87,698.43,227.72,9.4,0,2,0,5.7,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/2022,34455,8865.64,826.62,609.79,226.95,5.8,0,2.2,0,4,0,14,0,0,0,24.2,0,0,0,24.2,0,0,0,7,0,36,0
11/4/2022,30134,7124.75,699.34,595.59,277.37,11.5,0,3.4,0,7.5,0,10.5,0,0,0,31.6,0,0,0,31.6,0,0,0,29,0,94,0
11/5/2022,16,2795.86,306.35,269.48,121.08,8.8,0,2.5,0,5.7,0,12.3,0,0,0,0,0,0,0,0,0,0,0,30,0,74,0
11/6/2022,7,5027.08,556.9,441.46,225.87,5.2,0,2,0,3.6,0,14.4,0,0,0,14.3,0,0,0,14.3,0,0,0,10,0,62,0
11/7/2022,68644,8236.33,938.8,634.33,187.67,4.8,0,0.2,0,2.5,0,15.5,0,0,0,1,0,1.2,0,2.2,0,1,0,30,0,44,0
11/8/2022,43936,9416.87,1088.42,792.69,232.41,5.5,0,-1.4,0,2.1,0,15.9,0,0,0,0,0,0.8,0,1,0,2,0,33,0,48,0
11/9/2022,41214,9006.88,1114.2,692.3,191.68,5.6,0,-4,0,0.8,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2022,40883,8529.3,1209.81,728.34,237.71,5.6,0,2.3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2022,4,8,0,0,0,7.6,0,1.7,0,4.7,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2022,3,2344,552,229.39,45.29,7.5,0,-1.6,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/13/2022,0,2280,170,302.32,146.35,8.3,0,0.3,0,4.3,0,13.7,0,0,0,0,0,0,0,0,0,0,0,29,0,31,0
11/14/2022,69087,8033.08,571.6,685.83,278.34,8.2,0,-1.5,0,3.4,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2022,57263,9520.76,571.35,809.14,294.05,7.2,0,-1.7,0,2.8,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/2022,48799,9203.34,580.75,701.71,247.51,5.3,0,1.2,0,3.3,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/2022,50092,9042.23,587.07,699.48,268.76,11.8,0,-1.8,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/2022,53377,14397.28,984.98,1164.36,632.4,6.6,0,-5,0,0.8,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2022,292,2696.03,216.92,267.98,94.93,6.3,0,-4.7,0,0.8,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/20/2022,5997,4803,331.07,507.32,271.89,7.5,0,-2.6,0,2.5,0,15.5,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0
11/21/2022,79895,8422.45,585.07,646.69,223.73,8.7,0,3.3,0,6,0,12,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0
11/22/2022,57161,9580.25,635.73,699.43,288.52,8.7,0,6.4,0,7.6,0,10.4,0,0,0,16,0,0,0,16,0,0,0,28,0,49,0
11/23/2022,56170,9310.38,718.95,707.81,220.15,9.4,0,3.8,0,6.6,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/24/2022,51237,9171.85,703.99,679.36,280.41,11.7,0,3.7,0,7.7,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/25/2022,48611,7189.52,607,599.18,283.04,10.2,0,4.1,0,7.2,0,10.8,0,0,0,12.4,0,0,0,12.4,0,0,0,24,0,50,0
11/26/2022,137,2608.04,267,278.23,55.49,8.6,0,0.9,0,4.8,0,13.2,0,0,0,0,0,0,0,0,0,0,0,15,0,53,0
11/27/2022,22130,4783.71,347.87,581.48,288.87,8.7,0,2.4,0,5.6,0,12.4,0,0,0,0,0,0,0,0,0,0,0,29,0,70,0
11/28/2022,78250,8445.05,578.92,741.26,264.94,4.6,0,-4,0,0.3,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2022,54341,9575.26,657.8,1068.8,506.49,1.3,0,-4.3,0,-1.5,0,19.5,0,0,0,0,0,10,0,10,0,2,0,7,0,55,0
11/30/2022,21705,9252.86,888.83,1685.28,699.26,4.3,0,-1.9,0,1.2,0,16.8,0,0,0,1.2,0,0,0,1.2,0,4,0,10,0,54,0
12/1/2022,69843,9170.14,542.72,640.95,503.69,-0.4,0,-4.7,0,-2.6,0,20.6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
12/2/2022,57984,7185.52,409.25,701.17,493.23,2.7,0,-5.7,0,-1.5,0,19.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
12/3/2022,364,2580.02,184,266.71,97.53,4.2,0,-2.8,0,0.7,0,17.3,0,0,0,0,0,0,0,0,0,1,0,32,0,32,0
12/4/2022,34798,4770,77.88,580.15,290.28,3.8,0,-5.6,0,-0.9,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2022,78812,8410.12,204.7,784.52,304.77,2,0,-6,0,-2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2022,63309,9589.15,184.04,779.51,363.46,2.9,0,0.4,0,1.7,0,16.3,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0
12/7/2022,62514,9340.93,158.66,786.96,271.52,6.2,0,2.1,0,4.2,0,13.8,0,0,0,2.3,0,0,0,2.3,0,0,0,10,0,41,0
12/8/2022,65678,9110.93,170,821.67,295.36,6.4,0,1.2,0,3.8,0,14.2,0,0,0,4.5,0,0,0,4.5,0,0,0,9,0,45,0
12/9/2022,53994,7184.07,172.95,672,311.47,5.2,0,0.3,0,2.8,0,15.2,0,0,0,2.9,0,0,0,2.9,0,0,0,7,0,54,0
12/10/2022,976,2544.02,92,319.38,108.03,8.2,0,3.6,0,5.9,0,12.1,0,0,0,11.3,0,0,0,11.3,0,0,0,10,0,48,0
12/11/2022,36266,4788.02,107.25,619.93,247.06,7.1,0,5,0,6.1,0,11.9,0,0,0,0.4,0,0,0,0.4,0,0,0,29,0,35,0
12/12/2022,77662,8364.21,136.2,831.66,275.59,6.6,0,0,0,3.3,0,14.7,0,0,0,0,0,0,0,0,0,0,0,33,0,32,0
12/13/2022,63804,9570.52,196.98,908.36,316.99,3.8,0,0.7,0,2.3,0,15.7,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0
12/14/2022,60694,9295.83,158.75,813.81,345.89,5.9,0,-1,0,2.5,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2022,58387,9129.84,154.25,832.51,350.74,5.2,0,-1.6,0,1.8,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2022,53718,7165.68,163.93,705.92,431.16,4.1,0,-2,0,1.1,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2022,1868,2568.07,72,267.23,120.55,3.6,0,1.2,0,2.4,0,15.6,0,0,0,2.1,0,0,0,2.1,0,0,0,0,0,0,0
12/18/2022,24216,4731.02,166.07,968.43,516.49,3.2,0,-6.4,0,-1.6,0,19.6,0,0,0,3.4,0,5.4,0,8.8,0,2,0,10,0,35,0
12/19/2022,79818,8430.44,251.01,1256.73,504.09,-6.2,0,-8.1,0,-7.2,0,25.2,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0
12/20/2022,15200,9576.06,619,2804.75,1544.6,-6.8,0,-8.4,0,-7.6,0,25.6,0,0,0,0,0,24.2,0,24.2,0,18,0,0,0,0,0
12/21/2022,61656,9397.68,273.32,1181.8,624.4,-7,0,-12.9,0,-10,0,28,0,0,0,0,0,0.2,0,0.2,0,22,0,11,0,33,0
12/22/2022,55768,9263.79,270.2,1011.47,501.99,-6.8,0,-13.5,0,-10.2,0,28.2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
12/23/2022,15497,7215.75,401.25,3697.8,621.41,2,0,-8,0,-3,0,21,0,0,0,3.9,0,8,0,11.9,0,16,0,0,0,0,0
12/24/2022,7,2040.5,448,438.44,229.56,7.3,0,0.8,0,4.1,0,13.9,0,0,0,28.2,0,0,0,28.2,0,7,0,8,0,35,0
12/25/2022,0,0,0,0,0,8.4,0,2.6,0,5.5,0,12.5,0,0,0,16.1,0,0,0,16.1,0,2,0,10,0,31,0
12/26/2022,0,0,0,0,0,12.3,0,6.7,0,9.5,0,8.5,0,0,0,18.2,0,0,0,18.2,0,0,0,13,0,54,0
12/27/2022,24872,3912,136,451.62,179.29,9.8,0,6.4,0,8.1,0,9.9,0,0,0,28.8,0,0,0,28.8,0,0,0,25,0,46,0
12/28/2022,77204,7629.08,365.93,688.21,333.03,8.1,0,3.5,0,5.8,0,12.2,0,0,0,3.8,0,0,0,3.8,0,0,0,23,0,46,0
12/29/2022,54959,9156.87,631.51,729.48,368.07,6.5,0,3.2,0,4.9,0,13.1,0,0,0,2.9,0,0,0,2.9,0,0,0,6,0,33,0
12/30/2022,54753,7252.5,506.31,723.91,434.6,10.4,0,5.2,0,7.8,0,10.2,0,0,0,12.7,0,0,0,12.7,0,0,0,14,0,39,0
12/31/2022,1207,2018,446,197.75,78.2,9.6,0,2.2,0,5.9,0,12.1,0,0,0,3.8,0,0,0,3.8,0,0,0,15,0,35,0
1/1/2023,0,0,0,0,0,7.8,0,2.2,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,261,4066,934.85,392.03,60.38,5,0,-0.2,0,2.4,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,76044,8193.5,1589.74,557.88,88.58,5.6,0,0.2,0,2.9,0,15.1,0,0,0,1,0,0,0,1,0,0,0,9,0,37,0
1/4/2023,53584,9124.72,1788.5,542.66,77.81,8.4,0,2.6,0,5.5,0,12.5,0,0,0,1.5,0,0,0,1.5,0,0,0,9,0,39,0
1/5/2023,54369,9123.75,1876.25,541.98,104.91,12.2,0,5.2,0,8.7,0,9.3,0,0,0,2.3,0,0,0,2.3,0,0,0,10,0,49,0
1/6/2023,46384,7207.3,1649.92,447.84,78.11,10.7,0,6,0,8.4,0,9.6,0,0,0,3.4,0,0,0,3.4,0,0,0,8,0,43,0
1/7/2023,580,2412,752,138.55,30.45,9.3,0,7,0,8.2,0,9.8,0,0,0,10.2,0,0,0,10.2,0,0,0,9,0,35,0
1/8/2023,872,5136.73,1077.87,380.44,35.65,8.3,0,1.7,0,5,0,13,0,0,0,8.1,0,0,0,8.1,0,0,0,9,0,34,0
1/9/2023,75218,8329.77,1251.78,555.38,56.99,9.8,0,3.8,0,6.8,0,11.2,0,0,0,0.2,0,0,0,0.2,0,0,0,9,0,51,0
1/10/2023,51957,9530.28,1277.38,629.41,75.44,10.6,0,1.9,0,6.3,0,11.7,0,0,0,1.9,0,0,0,1.9,0,0,0,12,0,42,0
1/11/2023,50727,8961.3,1051.89,556.94,69.1,12.1,0,0.8,0,6.5,0,11.5,0,0,0,0,0,0,0,0,0,0,0,7,0,40,0
1/12/2023,42034,8919,1219.14,544.93,130.36,10.7,0,7.1,0,8.9,0,9.1,0,0,0,18.3,0,0,0,18.3,0,0,0,9,0,41,0
1/13/2023,37762,6948.57,1258.22,413.32,111.84,11.2,0,9.2,0,10.2,0,7.8,0,0,0,8.1,0,0,0,8.1,0,0,0,12,0,31,0
1/14/2023,13,2565.25,468.71,183.5,38.95,13.8,0,5.9,0,9.9,0,8.1,0,0,0,1.8,0,0,0,1.8,0,0,0,10,0,32,0
1/15/2023,6,5103.29,918.97,293.49,53.07,9.3,0,4.4,0,6.9,0,11.1,0,0,0,3.2,0,0,0,3.2,0,0,0,10,0,39,0
1/16/2023,62357,8140.79,1251.2,489.44,95.59,8.2,0,6.4,0,7.3,0,10.7,0,0,0,21.2,0,0,0,21.2,0,0,0,11,0,40,0
1/17/2023,40315,9512.81,1316.82,546.24,127.02,7.7,0,6.2,0,7,0,11,0,0,0,14.1,0,0,0,14.1,0,0,0,10,0,32,0
1/18/2023,43901,8906.72,1279.63,513.31,101,8.3,0,4.5,0,6.4,0,11.6,0,0,0,3.3,0,0,0,3.3,0,0,0,14,0,53,0
1/19/2023,37709,8822.93,1282.64,539.83,123.94,8.2,0,-0.4,0,3.9,0,14.1,0,0,0,0,0,0,0,0,0,0,0,26,0,42,0
1/20/2023,32369,6962.7,1368.16,411.53,94.6,7.2,0,1.6,0,4.4,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2023,12,2782,637.08,143.43,35.6,4.9,0,1.3,0,3.1,0,14.9,0,0,0,11.1,0,0,0,11.1,0,0,0,25,0,40,0
1/22/2023,0,5106,1246.55,343.45,90.36,6.1,0,3,0,4.6,0,13.4,0,0,0,0,0,0,0,0,0,0,0,30,0,41,0
1/23/2023,59641,8242.95,1417.91,501.12,150.82,6.1,0,2.7,0,4.4,0,13.6,0,0,0,1.8,0,0,0,1.8,0,0,0,0,0,0,0
1/24/2023,38483,9494.6,1478.35,593.81,122.91,6.1,0,4.6,0,5.4,0,12.6,0,0,0,3.9,0,0,0,3.9,0,0,0,0,0,0,0
1/25/2023,38288,8884.84,1454.28,538.88,133.87,7.2,0,5.3,0,6.3,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2023,30339,8832.85,1604.04,552.95,137.18,6.1,0,4.8,0,5.5,0,12.5,0,0,0,2.7,0,0,0,2.7,0,0,0,0,0,0,0
1/27/2023,33706,6946.13,1405,420.37,133.02,8.4,0,3.1,0,5.8,0,12.2,0,0,0,1.3,0,0,0,1.3,0,0,0,31,0,32,0
1/28/2023,62,2731,547.68,149.58,81.83,7.7,0,0.2,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,32,0
1/29/2023,2,5084.27,1030.28,347.76,113.4,3,0,-4.6,0,-0.8,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2023,55362,8084.77,1265.97,566,139.38,1.6,0,-5.9,0,-2.2,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2023,31483,9454.52,1542,644,229.57,1.8,0,-1.2,0,0.3,0,17.7,0,0,0,0,0,2.8,0,3.3,0,2,0,0,0,0,0
2/1/2023,35041,8915,1408.85,567.77,187.51,5.9,0,0.2,0,3.1,0,14.9,0,0,0,2.2,0,0.4,0,2.8,0,0,0,0,0,0,0
2/2/2023,31878,8872.55,1299.03,573.58,184.9,8,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2023,32961,6953.75,1412.46,468.65,148.9,9.2,0,2.5,0,5.9,0,12.1,0,0,0,1,0,0,0,1,0,0,0,12,0,71,0
2/4/2023,12,2731,465.5,193.32,74.48,9.6,0,7.2,0,8.4,0,9.6,0,0,0,0.9,0,0,0,0.9,0,0,0,9,0,39,0
2/5/2023,1,5109,996.13,359.85,109.09,8.6,0,5,0,6.8,0,11.2,0,0,0,3.7,0,0,0,3.7,0,0,0,5,0,35,0
2/6/2023,60434,8211.24,1191.65,572.79,164.31,8.4,0,5.4,0,6.9,0,11.1,0,0,0,0,0,0,0,0,0,0,0,16,0,43,0
2/7/2023,42037,9542.05,1317.96,622.63,221.29,10.8,0,5.2,0,8,0,10,0,0,0,18.4,0,0,0,18.4,0,0,0,21,0,52,0
2/8/2023,38863,9008.63,1303.4,569.86,178.21,7.5,0,0.2,0,3.9,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2023,34957,8946.65,1369.41,600.65,210.1,8.4,0,5.1,0,6.8,0,11.2,0,0,0,1.1,0,0,0,1.1,0,0,0,10,0,47,0
